anime_id,tag_name
16498,Kaiju
16498,Revenge
16498,Military
16498,Tragedy
16498,Post-Apocalyptic
16498,Primarily Teen Cast
16498,Super Power
16498,Male Protagonist
16498,Henshin
16498,Gore
16498,Swordplay
16498,Memory Manipulation
16498,Steampunk
16498,Dystopian
16498,Vore
16498,Ensemble Cast
16498,Orphan
16498,Espionage
16498,Cannibalism
16498,Kuudere
16498,Shounen
16498,Coming of Age
16498,Suicide
16498,Survival
16498,Medieval
16498,Time Skip
16498,Amnesia
16498,Rural
16498,CGI
16498,Primarily Male Cast
16498,Adoption
101922,Demons
101922,Shounen
101922,Swordplay
101922,Male Protagonist
101922,Vampire
101922,Tragedy
101922,Primarily Teen Cast
101922,Travel
101922,Monster Girl
101922,Revenge
101922,Orphan
101922,CGI
101922,Gore
101922,Primarily Male Cast
101922,Mythology
101922,Rural
101922,Historical
101922,Rotoscoping
101922,Body Horror
101922,Super Power
101922,Curses
101922,Chibi
101922,Time Skip
101922,Snowscape
101922,Animals
101922,Food
1535,Crime
1535,Detective
1535,Anti-Hero
1535,Male Protagonist
1535,Police
1535,Fugitive
1535,Philosophy
1535,Primarily Adult Cast
1535,Kuudere
1535,Gods
1535,Memory Manipulation
1535,Urban Fantasy
1535,Primarily Male Cast
1535,Urban
1535,Unrequited Love
1535,Amnesia
1535,Yandere
1535,Espionage
1535,Shounen
1535,Suicide
1535,Acting
1535,Tragedy
1535,Tennis
1535,Time Skip
1535,Assassins
1535,Achronological Order
1535,Asexual
113415,Urban Fantasy
113415,Shounen
113415,Youkai
113415,Super Power
113415,Curses
113415,Male Protagonist
113415,Primarily Teen Cast
113415,Exorcism
113415,Dissociative Identities
113415,Demons
113415,Orphan
113415,Urban
113415,Body Horror
113415,Magic
113415,Primarily Male Cast
113415,Martial Arts
113415,Ensemble Cast
113415,Shapeshifting
113415,Gore
113415,Swordplay
113415,School
113415,Anthropomorphism
113415,Rotoscoping
113415,Slapstick
113415,Mythology
113415,Surreal Comedy
113415,Twins
113415,Boarding School
113415,Baseball
21459,Super Power
21459,Superhero
21459,Shounen
21459,Primarily Teen Cast
21459,Male Protagonist
21459,Urban Fantasy
21459,School
21459,Ensemble Cast
21459,Coming of Age
21459,Bullying
21459,Cultivation
21459,Primarily Male Cast
21459,Prison
11061,Shounen
11061,Super Power
11061,Male Protagonist
11061,Martial Arts
11061,Ensemble Cast
11061,Tragedy
11061,Travel
11061,Primarily Male Cast
11061,Philosophy
11061,Revenge
11061,Chimera
11061,Primarily Teen Cast
11061,Crime
11061,Virtual World
11061,Anthropomorphism
11061,Urban Fantasy
11061,Environmental
11061,Assassins
11061,Coming of Age
11061,Mafia
11061,Body Horror
11061,Anti-Hero
11061,Gangs
11061,Card Battle
11061,Animals
11061,Politics
11061,Shogi
11061,Video Games
11061,Transgender
11061,Board Game
11061,Yandere
21087,Superhero
21087,Super Power
21087,Parody
21087,Male Protagonist
21087,Satire
21087,Urban Fantasy
21087,Surreal Comedy
21087,Urban
21087,Cyborg
21087,Primarily Adult Cast
21087,Kaiju
21087,Seinen
21087,Aliens
21087,Cultivation
21087,Primarily Male Cast
21087,Gods
21087,Martial Arts
21087,Demons
21087,Henshin
20605,Gore
20605,Urban Fantasy
20605,Tragedy
20605,Survival
20605,Body Horror
20605,Torture
20605,Male Protagonist
20605,Seinen
20605,Anti-Hero
20605,Coming of Age
20605,Cannibalism
20605,Urban
20605,Police
20605,Detective
20605,Crime
20605,Henshin
20605,Primarily Adult Cast
20605,Mythology
20605,College
20605,Heterosexual
20605,Military
20958,Survival
20958,Post-Apocalyptic
20958,Shapeshifting
20958,Tragedy
20958,Espionage
20958,Military
20958,Kaiju
20958,Dystopian
20958,Primarily Teen Cast
20958,Gore
20958,Revenge
20958,Politics
20958,Henshin
20958,Anti-Hero
20958,Ensemble Cast
20958,Super Power
20958,Shounen
20958,Male Protagonist
20958,Cult
20958,Kuudere
20958,Dissociative Identities
20958,Coming of Age
20958,Steampunk
20958,Cannibalism
20958,Primarily Male Cast
20958,CGI
20958,Swordplay
20958,Primarily Adult Cast
20958,Unrequited Love
20958,Matriarchy
20958,Rural
20958,Medieval
21,Pirates
21,Travel
21,Shounen
21,Ensemble Cast
21,Super Power
21,Found Family
21,Male Protagonist
21,Ships
21,Conspiracy
21,Slapstick
21,Tragedy
21,Time Skip
21,Politics
21,War
21,Slavery
21,Dystopian
21,Fugitive
21,Crime
21,Gods
21,Philosophy
21,Swordplay
21,Lost Civilization
21,Monster Boy
21,Prison
21,Henshin
21,Anthropomorphism
21,Food
21,Shapeshifting
21,Cyborg
21,Robots
21,Primarily Adult Cast
21,Medicine
21,Samurai
21,Animals
21,Guns
21,Desert
21,Skeleton
21,Anti-Hero
21,Anachronism
21,Dragons
21,Asexual
21,Espionage
21,Monster Girl
21,Marriage
21,Artificial Intelligence
21,Nudity
21,Demons
21,Kuudere
21,Drugs
21,Fairy
21,Post-Apocalyptic
21,Assassins
21,Battle Royale
21,Revenge
21,Aromantic
21,Adoption
21,Arranged Marriage
21,Mermaid
21,Ninja
21,Gender Bending
21,Time Manipulation
21,Clone
21,Musical Theater
21,Zombie
21,Kabuki
21,Angels
21,Trains
21,CGI
21,Unrequited Love
21,LGBTQ+ Themes
5114,Alchemy
5114,Conspiracy
5114,Military
5114,War
5114,Tragedy
5114,Shounen
5114,Politics
5114,Male Protagonist
5114,Philosophy
5114,Ensemble Cast
5114,Coming of Age
5114,Fugitive
5114,Super Power
5114,Foreign
5114,Gods
5114,Steampunk
5114,Disability
5114,Cyborg
5114,Revenge
5114,Necromancy
5114,Lost Civilization
5114,Anachronism
5114,Chimera
5114,Dissociative Identities
5114,Religion
5114,Travel
5114,Primarily Male Cast
5114,Gore
5114,Body Horror
5114,Slapstick
5114,Urban Fantasy
5114,Kuudere
5114,Tomboy
5114,Shapeshifting
5114,Guns
5114,Demons
5114,Chibi
5114,Swordplay
5114,Adoption
5114,Trains
5114,Cannibalism
5114,Heterosexual
5114,Desert
5114,Tanned Skin
5114,Vore
5114,Tsundere
5114,Crossdressing
5114,Snowscape
11757,Virtual World
11757,Isekai
11757,Death Game
11757,Video Games
11757,Male Protagonist
11757,Swordplay
11757,Primarily Teen Cast
11757,Heterosexual
11757,Rescue
11757,Primarily Female Cast
11757,Unrequited Love
11757,Time Skip
11757,Female Harem
11757,Artificial Intelligence
11757,Found Family
11757,Fairy
11757,Tragedy
11757,Travel
11757,Prison
11757,Fishing
11757,Rape
11757,Amnesia
11757,Shounen
11757,Inseki
11757,Medieval
11757,Software Development
20,Ninja
20,Shounen
20,Coming of Age
20,Male Protagonist
20,Super Power
20,Orphan
20,Cultivation
20,Martial Arts
20,Revenge
20,Found Family
20,Primarily Child Cast
20,Shapeshifting
20,Ensemble Cast
20,Anachronism
20,Bullying
20,Kaiju
20,Necromancy
20,Criminal Organization
20,Travel
20,Estranged Family
20,Slapstick
20,Gender Bending
20,Unrequited Love
20,Heterosexual
20,School
20,Assassins
20,Battle Royale
20,Anthropomorphism
20,Love Triangle
20,Primarily Teen Cast
21519,Body Swapping
21519,Time Manipulation
21519,Urban Fantasy
21519,Coming of Age
21519,Memory Manipulation
21519,Tragedy
21519,Urban
21519,Rural
21519,Gender Bending
21519,Heterosexual
21519,Primarily Teen Cast
21519,Time Skip
21519,Environmental
21519,Mythology
21519,Male Protagonist
21519,Alternate Universe
21519,Trains
21519,Shrine Maiden
21519,School
20954,Disability
20954,Bullying
20954,Rehabilitation
20954,Language Barrier
20954,Coming of Age
20954,Suicide
20954,Male Protagonist
20954,Tragedy
20954,Primarily Teen Cast
20954,School
20954,Time Skip
20954,Heterosexual
20954,POV
20954,Female Protagonist
20954,Unrequited Love
20954,Urban
20954,Shounen
99147,Conspiracy
99147,Military
99147,Tragedy
99147,Shapeshifting
99147,Politics
99147,Memory Manipulation
99147,Dystopian
99147,Fugitive
99147,Male Protagonist
99147,Revenge
99147,Henshin
99147,Super Power
99147,Crime
99147,Kaiju
99147,Gore
99147,Survival
99147,Shounen
99147,Yandere
